pincode,centroid_x,centroid_y,lat_0_5,lon_0_5,lat_0_25,lon_0_25,lat_0_1,lon_0_1,stcode11,dtcode11,sdtcode11,stname,dtname,sdtname,subdt_lgd,dist_lgd,state_lgd,geometry
711316,88.07442273,22.46851458,22.5,88,22.5,88,22.5,88.1,19,341,02407,WEST BENGAL,Howrah,Uluberia - I,2407,313,19,POINT (88.0744227284189 22.46851458495938)
711317,88.2566342,22.56742006,22.5,88.5,22.5,88.25,22.6,88.3,19,341,02404,WEST BENGAL,Howrah,Sankrail,2404,313,19,POINT (88.25663419522154 22.56742005860537)
711322,88.1295399,22.543497,22.5,88,22.5,88.25,22.5,88.1,19,341,02405,WEST BENGAL,Howrah,Panchla,2405,313,19,POINT (88.12953990258906 22.543497002865468)
711331,88.16804938,22.56228568,22.5,88,22.5,88.25,22.6,88.2,19,341,02404,WEST BENGAL,Howrah,Sankrail,2404,313,19,POINT (88.168049382146 22.56228568066505)
711401,87.99466044,22.58462252,22.5,88,22.5,88,22.6,88,19,341,02399,WEST BENGAL,Howrah,Amta - II,2399,313,19,POINT (87.99466044048538 22.58462251570247)
711403,88.27582563,22.60537117,22.5,88.5,22.5,88.25,22.6,88.3,19,341,02402,WEST BENGAL,Howrah,Domjur,2402,313,19,POINT (88.27582562651884 22.60537116653013)
711404,88.14539778,22.65069599,22.5,88,22.75,88.25,22.7,88.1,19,341,02401,WEST BENGAL,Howrah,Jagatballavpur,2401,313,19,POINT (88.14539777685387 22.650695987548357)
711405,88.22028058,22.64804272,22.5,88,22.75,88.25,22.6,88.2,19,341,02402,WEST BENGAL,Howrah,Domjur,2402,313,19,POINT (88.22028058074915 22.648042715698136)
711408,88.09067646,22.6850323,22.5,88,22.75,88,22.7,88.1,19,341,02401,WEST BENGAL,Howrah,Jagatballavpur,2401,313,19,POINT (88.0906764604467 22.68503229963483)
711409,88.25540993,22.62122,22.5,88.5,22.5,88.25,22.6,88.3,19,341,02402,WEST BENGAL,Howrah,Domjur,2402,313,19,POINT (88.25540993152946 22.621219996473535)
711410,88.05827726,22.65356546,22.5,88,22.75,88,22.7,88.1,19,341,02400,WEST BENGAL,Howrah,Amta - I,2400,313,19,POINT (88.05827725856105 22.653565464656655)
711411,88.1913115,22.60844732,22.5,88,22.5,88.25,22.6,88.2,19,341,02402,WEST BENGAL,Howrah,Domjur,2402,313,19,POINT (88.19131149588713 22.608447321626485)
711412,87.96008115,22.65966586,22.5,88,22.75,88,22.7,88,19,341,02398,WEST BENGAL,Howrah,Udaynarayanpur,2398,313,19,POINT (87.96008115220842 22.65966585506525)
711413,87.95108749,22.55009404,22.5,88,22.5,88,22.6,88,19,341,02399,WEST BENGAL,Howrah,Amta - II,2399,313,19,POINT (87.95108748569164 22.55009403734712)
711414,88.09162858,22.59820621,22.5,88,22.5,88,22.6,88.1,19,341,02401,WEST BENGAL,Howrah,Jagatballavpur,2401,313,19,POINT (88.09162858361292 22.598206210550046)
712101,88.39337927,22.88521933,23,88.5,23,88.5,22.9,88.4,19,338,02346,WEST BENGAL,Hooghly,Chinsurah - Magra,2346,312,19,POINT (88.39337927495939 22.885219328716396)
712102,88.33231731,22.90568016,23,88.5,23,88.25,22.9,88.3,19,338,02347,WEST BENGAL,Hooghly,Polba - Dadpur,2347,312,19,POINT (88.33231731220809 22.90568015815517)
712103,88.39375744,22.90841089,23,88.5,23,88.5,22.9,88.4,19,338,02346,WEST BENGAL,Hooghly,Chinsurah - Magra,2346,312,19,POINT (88.39375744376436 22.908410885235)
712104,88.3951303,22.9348634,23,88.5,23,88.5,22.9,88.4,19,338,02346,WEST BENGAL,Hooghly,Chinsurah - Magra,2346,312,19,POINT (88.39513029739769 22.93486339508685)
712105,88.38109201,22.87784466,23,88.5,23,88.5,22.9,88.4,19,338,02346,WEST BENGAL,Hooghly,Chinsurah - Magra,2346,312,19,POINT (88.38109201465191 22.877844657304834)
712121,88.37763638,22.9547183,23,88.5,23,88.5,23,88.4,19,338,02346,WEST BENGAL,Hooghly,Chinsurah - Magra,2346,312,19,POINT (88.37763638333408 22.954718299517808)
712122,87.55335102,22.88158375,23,87.5,23,87.5,22.9,87.6,19,338,02339,WEST BENGAL,Hooghly,Goghat - II,2339,312,19,POINT (87.55335102392395 22.88158374745126)
712123,88.39643485,23.10424776,23,88.5,23,88.5,23.1,88.4,19,338,02345,WEST BENGAL,Hooghly,Balagarh,2345,312,19,POINT (88.39643484686508 23.104247760387327)
712124,88.3117536,22.82816923,23,88.5,22.75,88.25,22.8,88.3,19,338,02349,WEST BENGAL,Hooghly,Singur,2349,312,19,POINT (88.31175359833685 22.82816922748336)
712125,88.36476666,22.83503262,23,88.5,22.75,88.25,22.8,88.4,19,338,02349,WEST BENGAL,Hooghly,Singur,2349,312,19,POINT (88.36476666324718 22.835032619274127)
712134,88.18161325,23.11260235,23,88,23,88.25,23.1,88.2,19,338,02344,WEST BENGAL,Hooghly,Pandua,2344,312,19,POINT (88.18161325363182 23.112602348820726)
712135,88.23343493,23.11715277,23,88,23,88.25,23.1,88.2,19,338,02344,WEST BENGAL,Hooghly,Pandua,2344,312,19,POINT (88.23343493329565 23.117152770629385)
712136,88.36553807,22.86330138,23,88.5,22.75,88.25,22.9,88.4,19,338,02349,WEST BENGAL,Hooghly,Singur,2349,312,19,POINT (88.36553807109672 22.863301376671565)
712137,88.36945651,22.84252046,23,88.5,22.75,88.25,22.8,88.4,19,338,02349,WEST BENGAL,Hooghly,Singur,2349,312,19,POINT (88.36945650599056 22.842520463178616)
712138,88.32539787,22.87067974,23,88.5,22.75,88.25,22.9,88.3,19,338,02349,WEST BENGAL,Hooghly,Singur,2349,312,19,POINT (88.32539787343099 22.87067973933089)
712139,88.33900935,22.84838496,23,88.5,22.75,88.25,22.8,88.3,19,338,02349,WEST BENGAL,Hooghly,Singur,2349,312,19,POINT (88.33900934865501 22.848384961283724)
712146,88.33370029,23.11825398,23,88.5,23,88.25,23.1,88.3,19,338,02344,WEST BENGAL,Hooghly,Pandua,2344,312,19,POINT (88.33370029200118 23.11825397714546)
712147,88.3278678,23.04007435,23,88.5,23,88.25,23,88.3,19,338,02344,WEST BENGAL,Hooghly,Pandua,2344,312,19,POINT (88.32786780051877 23.040074352453125)
712148,88.33363127,22.9853728,23,88.5,23,88.25,23,88.3,19,338,02347,WEST BENGAL,Hooghly,Polba - Dadpur,2347,312,19,POINT (88.33363126737856 22.9853728018218)
712149,88.25156078,23.03996577,23,88.5,23,88.25,23,88.3,19,338,02344,WEST BENGAL,Hooghly,Pandua,2344,312,19,POINT (88.25156078180359 23.03996577382809)
712152,88.2044477,23.03636611,23,88,23,88.25,23,88.2,19,338,02344,WEST BENGAL,Hooghly,Pandua,2344,312,19,POINT (88.20444769892283 23.036366108754137)
712201,88.34881907,22.75016724,23,88.5,22.75,88.25,22.8,88.3,19,338,02350,WEST BENGAL,Hooghly,Serampur Uttarpara,2350,312,19,POINT (88.34881907442222 22.750167244887628)
712202,88.35352828,22.73455964,22.5,88.5,22.75,88.25,22.7,88.4,19,338,02350,WEST BENGAL,Hooghly,Serampur Uttarpara,2350,312,19,POINT (88.35352827943008 22.734559640933117)
712203,88.32183555,22.74308839,22.5,88.5,22.75,88.25,22.7,88.3,19,338,02350,WEST BENGAL,Hooghly,Serampur Uttarpara,2350,312,19,POINT (88.32183555201526 22.74308839340199)
712204,88.33174978,22.76325767,23,88.5,22.75,88.25,22.8,88.3,19,338,02350,WEST BENGAL,Hooghly,Serampur Uttarpara,2350,312,19,POINT (88.33174978384713 22.763257674325807)
712221,88.34807256,22.81426405,23,88.5,22.75,88.25,22.8,88.3,19,338,02349,WEST BENGAL,Hooghly,Singur,2349,312,19,POINT (88.34807256152483 22.814264050944644)
712222,88.33195306,22.7979029,23,88.5,22.75,88.25,22.8,88.3,19,338,02350,WEST BENGAL,Hooghly,Serampur Uttarpara,2350,312,19,POINT (88.33195305770214 22.79790290197969)
712223,88.26186761,22.81362072,23,88.5,22.75,88.25,22.8,88.3,19,338,02349,WEST BENGAL,Hooghly,Singur,2349,312,19,POINT (88.26186760973732 22.813620722392635)
712232,88.35050927,22.67603224,22.5,88.5,22.75,88.25,22.7,88.4,19,338,02350,WEST BENGAL,Hooghly,Serampur Uttarpara,2350,312,19,POINT (88.35050926836982 22.676032238530762)
712233,88.3469751,22.68571958,22.5,88.5,22.75,88.25,22.7,88.3,19,338,02350,WEST BENGAL,Hooghly,Serampur Uttarpara,2350,312,19,POINT (88.34697510085363 22.685719577374137)
712234,88.31719505,22.69979891,22.5,88.5,22.75,88.25,22.7,88.3,19,338,02350,WEST BENGAL,Hooghly,Serampur Uttarpara,2350,312,19,POINT (88.3171950450959 22.699798911944587)
712235,88.35252209,22.70310589,22.5,88.5,22.75,88.25,22.7,88.4,19,338,02350,WEST BENGAL,Hooghly,Serampur Uttarpara,2350,312,19,POINT (88.35252208693214 22.703105888965105)
712245,88.3223715,22.67549332,22.5,88.5,22.75,88.25,22.7,88.3,19,338,02350,WEST BENGAL,Hooghly,Serampur Uttarpara,2350,312,19,POINT (88.3223714974704 22.675493323556807)
712246,88.3351456,22.70341985,22.5,88.5,22.75,88.25,22.7,88.3,19,338,02350,WEST BENGAL,Hooghly,Serampur Uttarpara,2350,312,19,POINT (88.33514560116232 22.70341984633596)
712248,88.35081746,22.72222306,22.5,88.5,22.75,88.25,22.7,88.4,19,338,02350,WEST BENGAL,Hooghly,Serampur Uttarpara,2350,312,19,POINT (88.35081746266034 22.722223059341395)
712249,88.33833109,22.73344841,22.5,88.5,22.75,88.25,22.7,88.3,19,338,02350,WEST BENGAL,Hooghly,Serampur Uttarpara,2350,312,19,POINT (88.33833109438875 22.733448414495825)
712250,88.31101109,22.72091659,22.5,88.5,22.75,88.25,22.7,88.3,19,338,02350,WEST BENGAL,Hooghly,Serampur Uttarpara,2350,312,19,POINT (88.31101108940689 22.720916586338817)
712258,88.34785813,22.66190144,22.5,88.5,22.75,88.25,22.7,88.3,19,338,02350,WEST BENGAL,Hooghly,Serampur Uttarpara,2350,312,19,POINT (88.34785813330733 22.661901442007828)
712301,88.10468006,22.9166046,23,88,23,88,22.9,88.1,19,338,02343,WEST BENGAL,Hooghly,Dhaniakhali,2343,312,19,POINT (88.10468006202792 22.91660459717674)
712302,88.11411605,22.96850839,23,88,23,88,23,88.1,19,338,02343,WEST BENGAL,Hooghly,Dhaniakhali,2343,312,19,POINT (88.11411605091455 22.968508393199368)
712303,88.1350698,23.03461033,23,88,23,88.25,23,88.1,19,338,02343,WEST BENGAL,Hooghly,Dhaniakhali,2343,312,19,POINT (88.1350697965055 23.034610332195598)
712304,88.24708822,22.72662811,22.5,88,22.75,88.25,22.7,88.2,19,338,02352,WEST BENGAL,Hooghly,Chanditala - II,2352,312,19,POINT (88.24708821512746 22.726628106115907)
712305,88.22368921,22.92248459,23,88,23,88.25,22.9,88.2,19,338,02347,WEST BENGAL,Hooghly,Polba - Dadpur,2347,312,19,POINT (88.22368920898187 22.92248458662472)
712306,88.26029241,22.75547267,23,88.5,22.75,88.25,22.8,88.3,19,338,02352,WEST BENGAL,Hooghly,Chanditala - II,2352,312,19,POINT (88.26029241068812 22.755472668742286)
712308,88.0524963,23.01393039,23,88,23,88,23,88.1,19,338,02343,WEST BENGAL,Hooghly,Dhaniakhali,2343,312,19,POINT (88.05249630010512 23.013930391726785)
712310,88.29401911,22.70070952,22.5,88.5,22.75,88.25,22.7,88.3,19,338,02352,WEST BENGAL,Hooghly,Chanditala - II,2352,312,19,POINT (88.2940191126607 22.700709516420172)
712311,88.28484781,22.6752704,22.5,88.5,22.75,88.25,22.7,88.3,19,338,02352,WEST BENGAL,Hooghly,Chanditala - II,2352,312,19,POINT (88.28484781139717 22.67527040254123)
712401,87.9782416,22.8335094,23,88,22.75,88,22.8,88,19,338,02342,WEST BENGAL,Hooghly,Tarakeswar,2342,312,19,POINT (87.97824159609328 22.833509395413984)
712402,88.03017064,22.96135245,23,88,23,88,23,88,19,338,02343,WEST BENGAL,Hooghly,Dhaniakhali,2343,312,19,POINT (88.03017063995932 22.9613524543521)
